Longitude,Latitude,SettlementWeight
13.8069312,52.9620208,768.0
10.9408896,49.9588242,145.0
7.9452378,47.8303378,5077.0
6.6916476,51.1981778,159122.0
13.7419701,51.2932144,2313.0
13.7918766,51.2845595,547.0
13.7721433,51.2590855,326.0
9.6882634,48.7585462,3933.0
10.3523096,48.8577633,11800.0
8.9915645,49.2060256,5536.0
13.5362765,51.0524125,14613.0
13.5445044,51.0314791,1680.0
13.8361238,51.182698,10273.0
7.9219863,52.8586593,9143.0
13.5628002,50.9349219,1100.0
7.6449981,53.5974697,1153.0
13.7340939,52.6334769,7900.0
14.0914827,52.8340315,473.0
14.1202165,52.8444731,773.0
13.9240229,52.8115296,512.0
9.0827453,49.2908862,2068.0
8.9609366,49.2924547,4010.0
8.9874611,49.2593874,309.0
8.9820122,49.2444449,640.0
13.1009791,50.8144193,4826.0
10.1256899,51.9416184,2721.0
6.8812387,51.0909476,40098.0
13.3650454,52.1415496,1600.0
9.0115732,48.6392119,11689.0
8.3962452,48.8700689,1893.0
13.2113765,52.283658,791.0
13.2980726,51.0565934,6336.0
13.2884224,50.9909991,683.0
13.2784375,50.9664763,5721.0
13.3207207,50.7987248,1681.0
13.3058162,50.7651314,591.0
13.0697621,50.5906737,3853.0
13.0465688,50.6194141,3876.0
13.2175775,50.6384347,2075.0
13.2313076,50.658016,2918.0
9.5318556,53.2868662,841.0
9.4043656,48.7906497,3194.0
9.7124175,53.28265,13323.0
11.9057516,54.1448422,1698.0
11.9026057,54.105858,11785.0
8.2545743,48.8272323,8224.0
7.0741062,50.9759208,21403.0
7.1277379,50.9929303,109425.0
10.792096,53.8031849,103.0
10.7938676,53.8094778,68.0
10.7593987,53.8386319,3186.0
13.9386643,50.9616923,37645.0
10.3296997,51.9356917,13366.0
10.2508204,51.72784,22317.0
10.3428415,51.6565219,13140.0
9.6550096,51.4161908,15909.0
10.1331159,52.0111484,11349.0
9.4830824,52.52955,1003.0
9.7542772,47.9209556,19596.0
13.9288505,51.0846975,1648.0
6.9810852,50.8247166,35859.0
7.0464119,50.7725088,4700.0
9.6112511,48.2411597,941.0
9.275092,49.089717,7549.0
6.7871681,50.66129,58435.0
9.6916189,52.5831301,386.0
9.6902519,49.2276928,5766.0
12.6663832,49.2178194,17013.0
11.7707109,47.6909599,5307.0
12.8862723,49.0800743,8002.0
9.7954522,49.2213153,302.0
12.342857,51.5255661,25005.0
12.3714685,51.4390092,2282.0
12.3821761,51.4275676,466.0
12.359866,51.478865,1489.0
12.3074564,51.6001604,2500.0
12.3803369,51.6391291,972.0
13.527697,52.8515828,886.0
9.6901512,49.2803765,14802.0
13.3943575,52.8726482,4670.0
13.2974823,52.901337,625.0
11.5119245,50.3741193,2040.0
11.4500695,50.3964966,598.0
11.380875,50.397541,2228.0
12.8499055,52.9461467,2800.0
12.8092919,52.9243859,31037.0
12.7261924,52.9029636,601.0
12.5782641,52.7395263,2904.0
9.16137,53.3316667,400.0
12.3966896,52.9430648,9152.0
8.728382,52.8495881,15529.0
12.2918168,52.9728278,357.0
12.2523998,52.9792807,4184.0
8.3371761,51.7100908,5284.0
8.3743583,51.6943165,4167.0
8.347194,51.6747074,66312.0
11.8969223,53.0628902,355.0
11.8627933,53.0762716,12046.0
11.598172,53.2494905,241.0
7.2945946,51.6308374,1700.0
10.5236066,52.2646577,248023.0
6.2735726,51.6686375,8503.0
11.5399442,53.0177158,130.0
11.5900807,53.0377384,21.0
9.915534,52.0944417,6966.0
9.9045818,52.0541312,2800.0
11.4081415,50.1871613,126.0
11.2778205,50.1917871,7700.0
13.5917025,51.0044794,530.0
11.266353,53.3332555,170.0
11.2008151,53.3485068,535.0
7.468614,51.7005549,25553.0
11.473829,49.0351602,5302.0
11.3837704,49.0008124,662.0
11.7302204,52.9553741,398.0
11.8071545,52.8066153,321.0
11.892811,52.8173866,74.0
13.5794907,50.9853391,5700.0
10.8597746,49.5841142,363.0
8.1591359,53.3333111,99.0
8.201904,53.2467081,22531.0
7.9828941,53.1959785,3051.0
7.9273367,53.2575197,21919.0
