Longitude,Latitude,IndustrialWeight
11.0885673,52.854592,1.0
8.6481039,49.898797,1.0
7.5168494,50.5705684,1.0
9.4588372,52.5160485,1.0
12.0360396,50.9283551,1.0
12.0308581,50.9293612,1.0
10.6037397,47.696279,1.0
12.1534746,49.4251583,1.0
11.2921452,49.5025287,1.0
10.6022762,52.5125396,1.0
12.3011085,51.0464782,1.0
12.2228135,51.029653,1.0
11.3806142,52.7227081,1.0
7.1634663,51.5493417,1.0
12.271484,51.0306966,1.0
12.2778276,51.0230797,1.0
12.2805852,51.0435786,1.0
12.2922739,51.0066044,1.0
12.2787424,51.0430429,1.0
12.3136908,50.9856835,1.0
12.3685126,51.0147074,1.0
12.329665,51.0296612,1.0
12.3297982,51.0317064,1.0
12.3076687,51.0438451,1.0
12.2883158,51.0479003,1.0
12.2723748,51.0494498,1.0
12.2722065,51.0512719,1.0
12.2712873,51.0492719,1.0
12.4755344,50.9777991,1.0
9.3980211,47.7128099,1.0
12.4385178,51.0149041,1.0
12.4635433,50.9943098,1.0
12.4363683,51.0186585,1.0
12.260302,50.8819712,1.0
7.1999737,51.2688308,1.0
11.4234217,51.9357615,1.0
12.3832929,50.9156373,1.0
12.4273859,50.9382675,1.0
9.4388755,51.2506933,1.0
8.7973538,53.1087522,1.0
12.8431232,50.687052,1.0
10.5381654,52.4584377,1.0
10.6421687,50.6037869,1.0
12.8733886,50.7151742,1.0
12.4687368,51.0456245,1.0
12.1810201,47.791775,1.0
12.4382912,51.0580186,1.0
8.554051,52.1130665,1.0
12.2854503,51.1819315,1.0
12.4046003,51.0240017,1.0
12.417753,51.0755084,1.0
9.4875033,49.1961263,1.0
12.4104472,51.1809202,1.0
12.3495289,51.0865077,1.0
12.3633812,51.0843374,1.0
12.4300862,51.0702998,1.0
12.4452036,51.0821514,1.0
12.4576868,51.0858298,1.0
8.5895724,52.1762272,1.0
10.393962,53.4187064,1.0
8.6077857,52.1823469,1.0
8.6557123,52.1845802,1.0
12.7361172,48.1847022,1.0
11.6688659,52.1663688,1.0
8.6484403,53.0616155,1.0
13.6402373,52.0671892,1.0
8.533548,50.0891104,1.0
12.2886012,51.6537601,1.0
11.0075308,51.0211309,1.0
13.5269533,53.0172172,1.0
11.0119257,51.0206195,1.0
13.3368079,51.0640275,1.0
8.4955604,52.2116893,1.0
10.8632468,52.748944,1.0
9.6129977,52.3151338,1.0
10.1646816,54.3863404,1.0
9.2123483,49.0124216,1.0
10.8537841,48.3574847,1.0
14.2782708,50.9780479,1.0
7.8357106,50.4513345,1.0
12.6929565,50.5959801,1.0
12.7805733,51.9272116,1.0
8.5412765,48.6141217,1.0
9.8845657,47.7948369,1.0
6.9433066,51.6916412,1.0
11.7131152,50.0921868,1.0
11.7161777,50.0934247,1.0
11.7072765,50.105249,1.0
11.0778983,52.622089,1.0
10.757902,49.1240145,1.0
8.5146515,53.5114833,1.0
9.3711868,51.9337701,1.0
12.3671988,51.1888136,1.0
7.6523151,51.0172865,1.0
7.9216414,48.0550192,1.0
8.5294131,53.0314122,1.0
7.7863292,48.1073055,1.0
7.2174981,50.635795,1.0
8.7509951,53.0793505,1.0
7.7310139,48.0541867,1.0
7.6311415,51.1063119,1.0
7.5757328,48.0399086,1.0
10.1816421,47.9731626,1.0
6.9951364,53.6728179,1.0
7.6628318,48.0950575,1.0
11.8889705,48.3142188,1.0
6.9563589,50.636393,1.0
12.7985683,52.8812495,1.0
7.8698931,48.1093105,1.0
9.0808928,48.5183117,1.0
7.9769379,48.1040314,1.0
6.5696701,49.9530888,1.0
8.4969127,53.4956548,1.0
8.4911541,53.4870104,1.0
8.5010414,53.4998962,1.0
8.096151,49.06025,1.0
6.6213093,49.9286202,1.0
6.6215803,49.9274152,1.0
8.4532468,52.1438089,1.0
11.0822578,53.0920737,1.0
8.3133258,49.1121972,1.0
10.7101227,47.6128951,1.0
9.2584816,49.9835824,1.0
11.0122227,53.0844793,1.0
10.1524884,51.877786,1.0
10.0255748,53.349024,1.0
9.8261641,48.8007695,1.0
8.2370325,49.1412026,1.0
11.8192828,50.9875969,1.0
8.3103897,53.3996763,1.0
9.6124499,53.9590841,1.0
8.272757,49.0022958,1.0
12.2905778,51.4066185,1.0
8.2647995,49.0202537,1.0
8.2570354,49.0083708,1.0
8.2542237,49.0110202,1.0
8.4743929,53.2487656,1.0
10.7550126,52.4582431,1.0
7.8272436,48.4578074,1.0
8.1850262,52.9065952,1.0
8.7211701,53.1363684,1.0
11.7584408,50.9445978,1.0
10.4950562,51.9214747,1.0
10.9807112,52.3800014,1.0
11.7478911,50.9390257,1.0
9.7706283,48.8131386,1.0
11.2226533,53.6620446,1.0
12.4321702,50.8952845,1.0
11.6309168,48.0902318,1.0
10.7266667,51.8173021,1.0
6.8718271,51.4307754,1.0
10.345451,53.436621,1.0
8.0283742,51.8029934,1.0
12.8437432,50.688411,1.0
8.4678764,47.9290273,1.0
7.4864886,50.5124076,1.0
8.3338361,51.6789797,1.0
9.4608513,52.4137119,1.0
9.5611863,50.0003853,1.0
7.559747,50.2096689,1.0
7.5633982,50.2074332,1.0
8.2189152,53.0855064,1.0
9.488758,52.3054175,1.0
13.1794236,48.6725091,1.0
11.6143493,48.1042084,1.0
8.6889994,53.133057,1.0
8.7063403,52.9983352,1.0
12.3956497,51.367776,1.0
10.1401978,54.3690705,1.0
10.1435431,54.3667655,1.0
10.6789013,52.0791186,1.0
12.3182234,51.2702316,1.0
12.3176628,51.2704327,1.0
12.3440967,51.2149917,1.0
12.3152505,51.298127,1.0
12.2797636,51.2560214,1.0
12.3180401,51.317736,1.0
7.8511253,48.027433,1.0
10.4077867,47.8348151,1.0
7.5861145,50.3230935,1.0
7.9607611,50.9908673,1.0
7.9618423,50.9949368,1.0
7.3315607,52.4808559,1.0
7.313116,52.4887057,1.0
8.3712165,49.7589451,1.0
8.8817753,52.2058521,1.0
10.6264654,47.9264436,1.0
7.484286,51.5997936,1.0
7.3318193,51.1553349,1.0
11.038876,52.6985822,1.0
11.2120809,52.7778142,1.0
7.1481661,49.4638552,1.0
7.1497992,49.4620374,1.0
6.7251533,49.5804522,1.0
11.1773775,48.7171979,1.0
9.7476292,51.2551893,1.0
10.9734027,52.7816875,1.0
7.9249526,47.5517531,1.0
11.4232355,53.566596,1.0
7.9104092,47.5598433,1.0
8.6594189,49.5595757,1.0
11.8011507,48.4550683,1.0
11.8351067,48.4546578,1.0
8.4641319,49.6485045,1.0
8.4506201,49.6514976,1.0
8.448882,49.6481431,1.0
11.7731261,48.3968252,1.0
11.7734132,48.3990618,1.0
11.7684421,48.3967519,1.0
6.6135165,51.4585795,1.0
6.6425985,51.4701772,1.0
8.4676047,49.0007076,1.0
11.6526075,48.4536985,1.0
7.2692887,50.8142503,1.0
7.5503348,51.6187599,1.0
8.0989271,52.3590321,1.0
8.5480785,52.1166805,1.0
11.0083824,50.3908395,1.0
6.6664405,50.6998012,1.0
9.9226528,53.4750523,1.0
7.4955693,51.6023087,1.0
8.5410808,49.6645803,1.0
7.496867,51.6034938,1.0
13.2650572,52.3237964,1.0
8.5558685,49.6581471,1.0
9.8500128,49.6206442,1.0
8.5536631,49.6755452,1.0
8.5501476,49.6789215,1.0
8.8610876,53.0180609,1.0
8.8754326,53.015788,1.0
8.8711319,53.0209636,1.0
8.4914507,49.688328,1.0
7.5118234,51.5883109,1.0
12.2438332,51.854412,1.0
8.3624757,51.6694387,1.0
9.7821324,53.3554024,1.0
8.1473125,48.730536,1.0
8.6810747,50.5727012,1.0
8.6518896,50.5728529,1.0
8.7081709,50.5953096,1.0
11.9455352,48.4873808,1.0
8.5668289,49.6446793,1.0
8.5718241,49.6556222,1.0
8.4120798,48.9376299,1.0
10.8062966,53.2665018,1.0
8.5710652,49.6393261,1.0
8.5668435,49.6374601,1.0
8.561768,49.6619452,1.0
12.3019104,51.2044853,1.0
12.3276024,51.2047715,1.0
12.3280812,51.2057943,1.0
12.2937612,51.1943676,1.0
12.3087316,51.1959875,1.0
12.2811702,51.1856487,1.0
12.2887769,51.1903756,1.0
12.3127228,51.1944692,1.0
12.1940026,51.4249011,1.0
8.3654285,52.1905112,1.0
12.3870712,51.3118451,1.0
6.7910682,52.4836623,1.0
13.3379617,52.5607221,1.0
9.2969606,48.8287086,1.0
9.2548561,48.8416675,1.0
8.6190579,51.8838813,1.0
8.1397622,49.0740142,1.0
8.4598229,49.0455771,1.0
12.3303231,51.2345562,1.0
12.3462839,51.2158924,1.0
8.7157779,53.1414887,1.0
11.3012444,47.7615881,1.0
7.3160058,50.7669317,1.0
