Bus_id,LoadZone,reference_load_share,softmap_load_share,dynamic_load_share,softmap_delta,dynamic_delta,abs_softmap_delta,abs_dynamic_delta
B319,TenneT,7.83138751854339e-06,6.687663560851856e-05,6.687663560851856e-05,5.904524808997517e-05,5.904524808997517e-05,5.904524808997517e-05,5.904524808997517e-05
B320,Amprion,1.034324575027524e-05,0.0004497502902267,0.0004497502902267,0.00043940704447642477,0.00043940704447642477,0.00043940704447642477,0.00043940704447642477
B321,50Hertz,0.0199872580597884,0.0114070993511996,0.0114070993511996,-0.008580158708588801,-0.008580158708588801,0.008580158708588801,0.008580158708588801
B322,TransnetBW,0.0064552722148557,0.0039773236524856,0.0039773236524856,-0.0024779485623701,-0.0024779485623701,0.0024779485623701,0.0024779485623701
B323,Amprion,0.0070522229005822,0.0048481306095784,0.0048481306095784,-0.0022040922910038004,-0.0022040922910038004,0.0022040922910038004,0.0022040922910038004
B324,TenneT,0.0,0.0024099688122564,0.0024099688122564,0.0024099688122564,0.0024099688122564,0.0024099688122564,0.0024099688122564
B325,TenneT,0.0101872357889721,0.0090258627962883,0.0090258627962883,-0.0011613729926838005,-0.0011613729926838005,0.0011613729926838005,0.0011613729926838005
B326,TenneT,0.0219977822516178,0.0239179576895457,0.0239179576895457,0.0019201754379278985,0.0019201754379278985,0.0019201754379278985,0.0019201754379278985
B327,TenneT,0.0016001959996904,0.0066522079000469,0.0066522079000469,0.0050520119003565,0.0050520119003565,0.0050520119003565,0.0050520119003565
B328,TenneT,0.0009148933369606,0.0047339034590271,0.0047339034590271,0.0038190101220665004,0.0038190101220665004,0.0038190101220665004,0.0038190101220665004
B329,TransnetBW,0.012977416509679,0.0125463022737308,0.0125463022737308,-0.0004311142359482,-0.0004311142359482,0.0004311142359482,0.0004311142359482
B330,TransnetBW,0.001668335914282,0.0021873456594304,0.0021873456594304,0.0005190097451484,0.0005190097451484,0.0005190097451484,0.0005190097451484
B331,TransnetBW,0.0014989305736852,0.0017965253445859,0.0017965253445859,0.00029759477090070003,0.00029759477090070003,0.00029759477090070003,0.00029759477090070003
B332,TenneT,0.0036747285471694,0.0036880881698395,0.0036880881698395,1.3359622670100057e-05,1.3359622670100057e-05,1.3359622670100057e-05,1.3359622670100057e-05
B333,TenneT,0.0001857303000612,0.00240717732284,0.00240717732284,0.0022214470227787998,0.0022214470227787998,0.0022214470227787998,0.0022214470227787998
B334,Amprion,0.0057865773832396,0.0050515194452861,0.0050515194452861,-0.0007350579379535004,-0.0007350579379535004,0.0007350579379535004,0.0007350579379535004
B335,TransnetBW,0.0079532767697281,0.0068787761340021,0.0068787761340021,-0.0010745006357259996,-0.0010745006357259996,0.0010745006357259996,0.0010745006357259996
B336,Amprion,0.0065002441340625,0.0042660795530791,0.0042660795530791,-0.0022341645809834006,-0.0022341645809834006,0.0022341645809834006,0.0022341645809834006
B337,Amprion,0.0078725492565609,0.0061901472099616,0.0061901472099616,-0.0016824020465993003,-0.0016824020465993003,0.0016824020465993003,0.0016824020465993003
B338,Amprion,0.0061863620783536,0.0052805352048277,0.0052805352048277,-0.0009058268735258994,-0.0009058268735258994,0.0009058268735258994,0.0009058268735258994
B339,Amprion,0.0146732746184138,0.0118554116814055,0.0118554116814055,-0.0028178629370083,-0.0028178629370083,0.0028178629370083,0.0028178629370083
B340,Amprion,0.0056112785147468,0.0038037880237024,0.0038037880237024,-0.0018074904910443997,-0.0018074904910443997,0.0018074904910443997,0.0018074904910443997
B341,Amprion,0.0044995467558507,0.0029435869659071,0.0029435869659071,-0.0015559597899435997,-0.0015559597899435997,0.0015559597899435997,0.0015559597899435997
B342,Amprion,0.0080982536055146,0.0059548721528204,0.0059548721528204,-0.0021433814526941996,-0.0021433814526941996,0.0021433814526941996,0.0021433814526941996
B343,Amprion,0.0049792683880222,0.0022766194282131,0.0022766194282131,-0.0027026489598090996,-0.0027026489598090996,0.0027026489598090996,0.0027026489598090996
B344,Amprion,0.0042022170420938,0.0030133182658824,0.0030133182658824,-0.0011888987762114001,-0.0011888987762114001,0.0011888987762114001,0.0011888987762114001
B345,Amprion,0.0038954677093095,0.0051818156955449,0.0051818156955449,0.0012863479862353995,0.0012863479862353995,0.0012863479862353995,0.0012863479862353995
B346,Amprion,0.0173783090281953,0.0131312985246165,0.0131312985246165,-0.004247010503578797,-0.004247010503578797,0.004247010503578797,0.004247010503578797
B347,Amprion,0.0153344154787485,0.009701413021451,0.009701413021451,-0.0056330024572975,-0.0056330024572975,0.0056330024572975,0.0056330024572975
B348,Amprion,0.0046042771524218,0.0046291827430913,0.0046291827430913,2.4905590669499836e-05,2.4905590669499836e-05,2.4905590669499836e-05,2.4905590669499836e-05
B349,Amprion,0.0022492679868519,0.0029546641173956,0.0029546641173956,0.0007053961305437,0.0007053961305437,0.0007053961305437,0.0007053961305437
B350,Amprion,0.0049820211088215,0.0045976247862662,0.0045976247862662,-0.0003843963225552997,-0.0003843963225552997,0.0003843963225552997,0.0003843963225552997
B351,Amprion,0.0071546537868523,0.0077507610102945,0.0077507610102945,0.0005961072234421999,0.0005961072234421999,0.0005961072234421999,0.0005961072234421999
B352,Amprion,0.0077444017799113,0.0062021061217452,0.0062021061217452,-0.0015422956581661006,-0.0015422956581661006,0.0015422956581661006,0.0015422956581661006
B353,Amprion,0.0198274301526125,0.0128228516634054,0.0128228516634054,-0.007004578489207099,-0.007004578489207099,0.007004578489207099,0.007004578489207099
B354,Amprion,7.240272025192668e-05,0.0032000437434983,0.0032000437434983,0.003127641023246373,0.003127641023246373,0.003127641023246373,0.003127641023246373
B355,Amprion,0.0006098392286706,0.002038637347866,0.002038637347866,0.0014287981191954003,0.0014287981191954003,0.0014287981191954003,0.0014287981191954003
B356,Amprion,0.0018655724796394,0.0049575042610626,0.0049575042610626,0.0030919317814232,0.0030919317814232,0.0030919317814232,0.0030919317814232
B357,Amprion,0.007127884324663,0.0080496580483319,0.0080496580483319,0.0009217737236689007,0.0009217737236689007,0.0009217737236689007,0.0009217737236689007
B358,Amprion,0.0057455360605173,0.0070757191927508,0.0070757191927508,0.0013301831322334997,0.0013301831322334997,0.0013301831322334997,0.0013301831322334997
B359,Amprion,0.0219685944884645,0.014458110089211,0.014458110089211,-0.0075104843992535,-0.0075104843992535,0.0075104843992535,0.0075104843992535
B360,50Hertz,0.0009886778602862,0.0020044276448562,0.0020044276448562,0.0010157497845700001,0.0010157497845700001,0.0010157497845700001,0.0010157497845700001
B361,TenneT,0.0078382806871401,0.0082933002677496,0.0082933002677496,0.00045501958060950067,0.00045501958060950067,0.00045501958060950067,0.00045501958060950067
B362,Amprion,0.0025784509869574,0.0031632144267639,0.0031632144267639,0.0005847634398065001,0.0005847634398065001,0.0005847634398065001,0.0005847634398065001
B363,TransnetBW,0.0009631553354027,0.0024696847759623,0.0024696847759623,0.0015065294405595998,0.0015065294405595998,0.0015065294405595998,0.0015065294405595998
B364,TransnetBW,0.0146227100798507,0.0101361282316519,0.0101361282316519,-0.004486581848198799,-0.004486581848198799,0.004486581848198799,0.004486581848198799
B365,TransnetBW,0.0037579763007564,0.0021785701516477,0.0021785701516477,-0.0015794061491087,-0.0015794061491087,0.0015794061491087,0.0015794061491087
B366,50Hertz,0.0078616176365914,0.0059060116519902,0.0059060116519902,-0.001955605984601201,-0.001955605984601201,0.001955605984601201,0.001955605984601201
B367,Amprion,0.0180393594778617,0.0150265330178772,0.0150265330178772,-0.0030128264599845,-0.0030128264599845,0.0030128264599845,0.0030128264599845
B368,TenneT,0.007276119685562,0.0056612006920194,0.0056612006920194,-0.0016149189935425997,-0.0016149189935425997,0.0016149189935425997,0.0016149189935425997
B369,TransnetBW,0.0048713116764547,0.0045209148967211,0.0045209148967211,-0.00035039677973359995,-0.00035039677973359995,0.00035039677973359995,0.00035039677973359995
B370,TransnetBW,0.0046025846120605,0.0032607025983945,0.0032607025983945,-0.0013418820136660002,-0.0013418820136660002,0.0013418820136660002,0.0013418820136660002
B371,Amprion,0.0076073224359448,0.006587440132276,0.006587440132276,-0.0010198823036688,-0.0010198823036688,0.0010198823036688,0.0010198823036688
B373,TenneT,0.0020959511253039,0.0041483744146159,0.0041483744146159,0.0020524232893119995,0.0020524232893119995,0.0020524232893119995,0.0020524232893119995
B374,Amprion,0.0001075013334336,0.0007947101246254,0.0007947101246254,0.0006872087911917999,0.0006872087911917999,0.0006872087911917999,0.0006872087911917999
B375,Amprion,0.0015801904247775,0.0009312270558405,0.0009312270558405,-0.000648963368937,-0.000648963368937,0.000648963368937,0.000648963368937
B376,Amprion,0.0010924935072981,0.0009306538765508,0.0009306538765508,-0.00016183963074729998,-0.00016183963074729998,0.00016183963074729998,0.00016183963074729998
B377,TransnetBW,0.003963776448567,0.0064480875219166,0.0064480875219166,0.0024843110733496,0.0024843110733496,0.0024843110733496,0.0024843110733496
B378,TransnetBW,0.0042577712038703,0.0044294929385956,0.0044294929385956,0.00017172173472530024,0.00017172173472530024,0.00017172173472530024,0.00017172173472530024
B379,TransnetBW,0.011789839200857,0.0095558393919603,0.0095558393919603,-0.0022339998088967,-0.0022339998088967,0.0022339998088967,0.0022339998088967
