Line,From_bus_prestructural,To_bus_prestructural,From_zone_prestructural,To_zone_prestructural,HoursBinding_prestructural,AvgAbsShadow_prestructural,MaxAbsShadow_prestructural,AnnCongestionRent_prestructural,AnnLineLoss_MWh_prestructural,AvgLineLoss_MW_prestructural,AvgLoading_pct_prestructural,P95Loading_pct_prestructural,From_bus_structural,To_bus_structural,From_zone_structural,To_zone_structural,HoursBinding_structural,AvgAbsShadow_structural,MaxAbsShadow_structural,AnnCongestionRent_structural,AnnLineLoss_MWh_structural,AvgLineLoss_MW_structural,AvgLoading_pct_structural,P95Loading_pct_structural,Delta_HoursBinding,Delta_MaxAbsShadow,Delta_AnnCongestionRent
244,B81,B494,Amprion,Amprion,0,0.0,0.0,0.5852314408342391,0.0,0.0,1.9367488793828749,4.207895786449389,B81,B494,Amprion,Amprion,0,0.0,0.0,0.3912973426881239,0.0,0.0,2.680397222922038,6.315466449915552,0,0.0,-0.19393409814611517
245,B194,B60,Amprion,Amprion,0,0.0,0.0,3.4625679412691865,0.0,0.0,3.8911598062416233,6.94293650415789,B194,B60,Amprion,Amprion,0,0.0,0.0,-0.6723483386711271,0.0,0.0,5.2960337310533445,12.782321357918672,0,0.0,-4.134916279940313
246,B625,B339,Amprion,Amprion,0,0.0,0.0,0.0,0.0,0.0,1.104027380321672,2.7109243423043674,B625,B339,Amprion,Amprion,0,0.0,0.0,0.0,0.0,0.0,1.7163299398061318,3.64140249625311,0,0.0,0.0
247,B122,B427,Amprion,Amprion,0,0.0,0.0,39.873982789869245,0.0,0.0,10.303162868717957,25.56356956830202,B122,B427,Amprion,Amprion,0,0.0,0.0,21.54707392184601,0.0,0.0,12.503377991755634,24.55138646839769,0,0.0,-18.326908868023235
248,B643,B428,Amprion,Amprion,0,0.0,0.0,75.66707417925706,0.0,0.0,10.989555095153143,22.827279261077933,B643,B428,Amprion,Amprion,0,0.0,0.0,32.24919403397054,0.0,0.0,12.804472370824998,22.87309975218717,0,0.0,-43.41788014528652
249,B644,B215,Amprion,Amprion,0,0.0,0.0,5944.325622503996,0.0,0.0,40.0923198872087,45.240345342178784,B644,B215,Amprion,Amprion,0,0.0,0.0,4334.81955650348,0.0,0.0,38.79582234915247,46.53854378678185,0,0.0,-1609.5060660005156
250,B146,B777,Amprion,Amprion,0,0.0,0.0,6772.158995127439,0.0,0.0,57.87381416443719,64.45870022840423,B146,B777,Amprion,Amprion,0,0.0,0.0,4880.649999005186,0.0,0.0,55.30780174711256,67.91774613130224,0,0.0,-1891.508996122253
251,B135,B777,Amprion,Amprion,0,0.0,0.0,3322.96597241326,0.0,0.0,47.877454963207214,53.45607819537173,B135,B777,Amprion,Amprion,0,0.0,0.0,2432.7467655125884,0.0,0.0,46.54091393376181,56.81828474783003,0,0.0,-890.2192069006715
252,B213,B212,Amprion,Amprion,0,0.0,0.0,1777.135323922977,0.0,0.0,36.60341607162828,41.465824675455146,B213,B212,Amprion,Amprion,0,0.0,0.0,1358.4142357064677,0.0,0.0,37.16315449203574,47.23828868100821,0,0.0,-418.7210882165093
253,B40,B719,TenneT,TenneT,0,0.0,0.0,-1532.920087015827,0.0,0.0,36.35142093486006,49.57650887486318,B40,B719,TenneT,TenneT,0,0.0,0.0,-3595.165796598186,0.0,0.0,38.162844276450265,52.61966945805405,0,0.0,-2062.245709582359
254,B215,B362,Amprion,Amprion,0,0.0,0.0,0.0,0.0,0.0,1.5599800782582227,2.0391227112615096,B215,B362,Amprion,Amprion,0,0.0,0.0,0.0,0.0,0.0,1.4584916500127685,1.8678498282825604,0,0.0,0.0
255,B151,B218,Amprion,Amprion,0,0.0,0.0,-16.08149603963568,0.0,0.0,4.871703368249198,5.425205229889804,B151,B218,Amprion,Amprion,0,0.0,0.0,-12.189625688463876,0.0,0.0,4.705736484121219,5.7295761329367405,0,0.0,3.8918703511718054
256,B148,B343,Amprion,Amprion,0,0.0,0.0,-137.820108087207,0.0,0.0,42.66474623092661,48.58023565218589,B148,B343,Amprion,Amprion,0,0.0,0.0,-107.07460757384392,0.0,0.0,42.305439873745485,55.90841102648272,0,0.0,30.74550051336307
257,B628,B288,50Hertz,50Hertz,0,0.0,0.0,65.75384640096811,0.0,0.0,17.738276341924717,35.695385132770426,B628,B288,50Hertz,50Hertz,0,0.0,0.0,25.02157268634428,0.0,0.0,21.964916371547577,66.9196114675448,0,0.0,-40.73227371462384
258,B210,B647,TransnetBW,TransnetBW,0,0.0,0.0,0.0,0.0,0.0,1.4636449751364384,4.696906836115112,B210,B647,TransnetBW,TransnetBW,0,0.0,0.0,0.0,0.0,0.0,1.7028816196757752,3.734095236464075,0,0.0,0.0
259,B611,B422,50Hertz,TenneT,0,0.0,0.0,122.87491511141242,0.0,0.0,22.70092938945344,29.15393545482259,B611,B422,50Hertz,TenneT,0,0.0,0.0,119.74870445765283,0.0,0.0,23.55538412599051,36.57060225426325,0,0.0,-3.1262106537595855
260,B149,B244,Amprion,Amprion,0,0.0,0.0,0.0,0.0,0.0,1.4887071302338892,1.7866569070616871,B149,B244,Amprion,Amprion,0,0.0,0.0,0.0,0.0,0.0,1.5160576679692024,1.7660834984395066,0,0.0,0.0
261,B726,B224,TenneT,TenneT,0,0.0,0.0,2.384408295494584,0.0,0.0,15.561890771558316,40.7051579660702,B726,B224,TenneT,TenneT,0,0.0,0.0,0.8104885325725631,0.0,0.0,15.428075927871468,38.70619856802118,0,0.0,-1.5739197629220207
262,B182,B294,TenneT,TenneT,0,0.0,0.0,-144.45854354830402,0.0,0.0,51.19511358169407,60.50586699795484,B182,B294,TenneT,TenneT,0,0.0,0.0,-139.53204907762571,0.0,0.0,53.49240014496874,77.5461280435551,0,0.0,4.926494470678307
263,B472,B349,Amprion,Amprion,0,0.0,0.0,-52.94921711672866,0.0,0.0,20.95441730097639,25.37296196763375,B472,B349,Amprion,Amprion,0,0.0,0.0,-44.61549365758413,0.0,0.0,22.636477308809727,31.57076218668895,0,0.0,8.33372345914453
264,B384,B358,Amprion,Amprion,0,0.0,0.0,568.0892318370505,0.0,0.0,7.524147643418633,14.396384312425427,B384,B358,Amprion,Amprion,0,0.0,0.0,326.59092964624966,0.0,0.0,7.89980146847273,14.846873014648478,0,0.0,-241.49830219080087
265,B688,B224,TenneT,TenneT,0,0.0,0.0,2.3651026564028577,0.0,0.0,35.4829985458986,49.93053582575395,B688,B224,TenneT,TenneT,0,0.0,0.0,2.26968443821722,0.0,0.0,33.413704542081966,50.958910209951625,0,0.0,-0.09541821818563756
266,B665,B132,TransnetBW,TransnetBW,0,0.0,0.0,-5.3067630553941365,0.0,0.0,13.701990191626068,22.12861938958408,B665,B132,TransnetBW,TransnetBW,0,0.0,0.0,-6.251169484445022,0.0,0.0,14.257042789061536,27.979514611117608,0,0.0,-0.9444064290508853
267,B576,B707,TransnetBW,TransnetBW,0,0.0,0.0,-17.300150811438847,0.0,0.0,7.415811230507408,11.597688930286928,B576,B707,TransnetBW,TransnetBW,0,0.0,0.0,-17.23057736576066,0.0,0.0,6.479113238748365,11.610037053849965,0,0.0,0.0695734456781878
268,B186,B165,50Hertz,50Hertz,0,0.0,0.0,13.26915484487844,0.0,0.0,24.94026313892949,29.72622637636305,B186,B165,50Hertz,50Hertz,0,0.0,0.0,13.587303746815763,0.0,0.0,28.78290976050941,34.13572390746595,0,0.0,0.3181489019373238
269,B717,B225,TransnetBW,TransnetBW,0,0.0,0.0,-0.8681191583181029,0.0,0.0,4.647585614825654,8.942930545912168,B717,B225,TransnetBW,TransnetBW,0,0.0,0.0,-0.7183966467808337,0.0,0.0,4.5364275944357,9.52177164474823,0,0.0,0.14972251153726923
270,B621,B581,TransnetBW,TransnetBW,0,0.0,0.0,50.789972680946185,0.0,0.0,15.709800942845776,25.912136597199023,B621,B581,TransnetBW,TransnetBW,0,0.0,0.0,45.18749996337597,0.0,0.0,14.675106736829342,25.72341553994106,0,0.0,-5.602472717570215
271,B106,B631,TransnetBW,TransnetBW,0,0.0,0.0,1608.5733033069569,0.0,0.0,28.905658857525967,41.849066887330856,B106,B631,TransnetBW,TransnetBW,0,0.0,0.0,1214.1236200878343,0.0,0.0,27.93120234341586,42.39087599039453,0,0.0,-394.44968321912256
272,B370,B412,TransnetBW,Amprion,0,0.0,0.0,226.29255068195263,0.0,0.0,17.233890493954537,31.87343800446955,B370,B412,TransnetBW,Amprion,0,0.0,0.0,36.59859161293082,0.0,0.0,16.901235462766866,32.57593198674198,0,0.0,-189.69395906902182
273,B369,B307,TransnetBW,TransnetBW,0,0.0,0.0,2.46673763266376,0.0,0.0,13.517281875202595,25.886753624347637,B369,B307,TransnetBW,TransnetBW,0,0.0,0.0,2.1946016636439047,0.0,0.0,13.151197082164458,25.365614303877397,0,0.0,-0.27213596901985504
274,B226,B774,TenneT,TenneT,0,0.0,0.0,0.0,0.0,0.0,4.150824759518646,7.917384429606436,B226,B774,TenneT,TenneT,0,0.0,0.0,0.0,0.0,0.0,4.50548990216915,10.260914463700283,0,0.0,0.0
275,B779,B716,TenneT,TenneT,0,0.0,0.0,0.0,0.0,0.0,4.493404978995969,6.980925558783731,B779,B716,TenneT,TenneT,0,0.0,0.0,0.0,0.0,0.0,3.4287376452745693,6.731635069661269,0,0.0,0.0
276,B227,B780,TenneT,TenneT,0,0.0,0.0,0.0,0.0,0.0,0.1353865664200611,0.215735387178351,B227,B780,TenneT,TenneT,0,0.0,0.0,0.0,0.0,0.0,0.119062162773292,0.2171083889379431,0,0.0,0.0
277,B683,B699,TransnetBW,TransnetBW,0,0.0,0.0,-4.667295008449699,0.0,0.0,8.173957267722125,13.31798409811082,B683,B699,TransnetBW,TransnetBW,0,0.0,0.0,-4.797295290489502,0.0,0.0,8.0959208429351,14.358488584793268,0,0.0,-0.13000028203980296
278,B493,B145,Amprion,Amprion,0,0.0,0.0,0.3786030377964267,0.0,0.0,4.52068202638385,11.200033456399476,B493,B145,Amprion,Amprion,0,0.0,0.0,-0.0170286805423664,0.0,0.0,5.490896912381941,9.733232338654124,0,0.0,-0.39563171833879307
279,B78,B691,Amprion,TenneT,0,0.0,0.0,-4816.036673943616,0.0,0.0,44.43080497275441,52.15307901010589,B78,B691,Amprion,TenneT,0,0.0,0.0,-3639.6677003882255,0.0,0.0,45.898515213571926,58.28924895327281,0,0.0,1176.3689735553903
280,B692,B775,TenneT,Amprion,0,0.0,0.0,-48994.06719855438,0.0,0.0,46.04264441060398,55.16944400780655,B692,B775,TenneT,Amprion,0,0.0,0.0,-36617.54836678284,0.0,0.0,47.64984631973758,61.20525721786359,0,0.0,12376.518831771544
281,B556,B78,Amprion,Amprion,0,0.0,0.0,28021.74300838054,0.0,0.0,68.81720832013498,76.69776638030685,B556,B78,Amprion,Amprion,0,0.0,0.0,21097.203016737025,0.0,0.0,67.1672485026735,77.32710618886404,0,0.0,-6924.539991643516
282,B258,B124,Amprion,Amprion,0,0.0,0.0,0.8706565526410666,0.0,0.0,2.821153001670981,6.316490265089923,B258,B124,Amprion,Amprion,0,0.0,0.0,0.7813088491400295,0.0,0.0,3.7199572197625295,8.317520868021694,0,0.0,-0.08934770350103705
283,B252,B125,Amprion,Amprion,0,0.0,0.0,-0.6402574369992281,0.0,0.0,1.72014062845336,3.1775439179771627,B252,B125,Amprion,Amprion,0,0.0,0.0,-0.5486650590599742,0.0,0.0,1.9661846030565588,4.24884103155399,0,0.0,0.0915923779392539
284,B470,B156,Amprion,Amprion,0,0.0,0.0,-134.73930158831894,0.0,0.0,19.072156396040736,21.797987323774517,B470,B156,Amprion,Amprion,0,0.0,0.0,-105.9940377940011,0.0,0.0,19.445773844730464,23.68432733009222,0,0.0,28.745263794317836
285,B471,B157,Amprion,Amprion,0,0.0,0.0,-518.947579396046,0.0,0.0,17.840587889066924,20.16231689824765,B471,B157,Amprion,Amprion,0,0.0,0.0,-406.2310232229684,0.0,0.0,18.130824402921917,22.65166461217805,0,0.0,112.71655617307755
286,B301,B231,Amprion,Amprion,0,0.0,0.0,-76.91377174189147,0.0,0.0,25.291157246860227,30.34978755693376,B301,B231,Amprion,Amprion,0,0.0,0.0,-61.314431329709215,0.0,0.0,25.53908417957156,37.79087542098269,0,0.0,15.59934041218225
287,B345,B136,Amprion,Amprion,0,0.0,0.0,-489.9087932371607,0.0,0.0,28.83217677403044,38.47788891361583,B345,B136,Amprion,Amprion,0,0.0,0.0,-414.499790010138,0.0,0.0,30.286506265051973,51.22035168410565,0,0.0,75.40900322702271
288,B235,B427,Amprion,Amprion,0,0.0,0.0,31.55958724945424,0.0,0.0,13.26012800806083,26.683973490973795,B235,B427,Amprion,Amprion,0,0.0,0.0,19.77418507367848,0.0,0.0,11.529130676843636,24.16350085475217,0,0.0,-11.785402175775758
289,B687,B302,Amprion,Amprion,0,0.0,0.0,-337.0676506141033,0.0,0.0,7.609063934579656,11.826742497209842,B687,B302,Amprion,Amprion,0,0.0,0.0,-316.88943999310465,0.0,0.0,8.76141578574551,17.285302011577087,0,0.0,20.17821062099864
290,B687,B518,Amprion,Amprion,0,0.0,0.0,0.0,0.0,0.0,1.8576846029028309,2.298038502934603,B687,B518,Amprion,Amprion,0,0.0,0.0,0.0,0.0,0.0,1.592585866201949,2.0143380557462063,0,0.0,0.0
291,B692,B234,TenneT,TenneT,0,0.0,0.0,-1408.8830257169009,0.0,0.0,61.54940703692754,83.06330043648694,B692,B234,TenneT,TenneT,0,0.0,0.0,-576.3583853339125,0.0,0.0,61.923331050104274,82.55929223185345,0,0.0,832.5246403829884
292,B416,B234,TenneT,TenneT,0,0.0,0.0,-3424.403941687472,0.0,0.0,56.90147508701693,79.04153356304174,B416,B234,TenneT,TenneT,0,0.0,0.0,-1396.0540670088326,0.0,0.0,58.01001442789688,78.24191975040401,0,0.0,2028.3498746786395
293,B548,B236,Amprion,Amprion,0,0.0,0.0,785.4511159683973,0.0,0.0,44.73558988503307,50.69030241133324,B548,B236,Amprion,Amprion,0,0.0,0.0,585.6349381288886,0.0,0.0,44.34822361741448,54.63813329371745,0,0.0,-199.81617783950867
294,B701,B147,Amprion,Amprion,0,0.0,0.0,-9.760612581789331,0.0,0.0,8.109305155239356,9.061933043160222,B701,B147,Amprion,Amprion,0,0.0,0.0,-7.0992807179612845,0.0,0.0,7.641751347164717,8.852471572270213,0,0.0,2.661331863828047
295,B238,B148,Amprion,Amprion,0,0.0,0.0,37.97121345866413,0.0,0.0,4.296095380738342,5.723286637664208,B238,B148,Amprion,Amprion,0,0.0,0.0,29.194781069879973,0.0,0.0,4.421307140186218,7.556330323282221,0,0.0,-8.776432388784158
