Hour,Load_MW_old,Generation_MW_old,StorageCharge_MW_old,StorageDischarge_MW_old,TransmissionLoss_MW_old,LoadShedding_MW_old,Curtailment_MW_old,AvgLMP_LoadWeighted_old,TotalEmissions_ton_old,Load_MW_new,Generation_MW_new,StorageCharge_MW_new,StorageDischarge_MW_new,TransmissionLoss_MW_new,LoadShedding_MW_new,Curtailment_MW_new,AvgLMP_LoadWeighted_new,TotalEmissions_ton_new,Delta_Generation_MW,Delta_StorageCharge_MW,Delta_StorageDischarge_MW,Delta_Curtailment_MW,Delta_AvgLMP_LoadWeighted,Delta_TotalEmissions_ton
11,50088.5,50754.49656704061,665.9965670405576,0.0,0.0,0.0,32761.726419679268,2.999999999999993,0.0,50088.5,51627.684067221744,1539.1840672216997,0.0,0.0,0.0,31888.5389194981,2.9999999999999987,0.0,873.187500181135,873.1875001811421,0.0,-873.1875001811677,5.773159728050814e-15,0.0
12,52089.5,54020.78444807189,1931.284448071977,0.0,0.0,0.0,31580.436621700243,2.999999999999994,0.0,52089.5,53758.47236723927,1668.972367239344,0.0,0.0,0.0,31842.748702532903,3.000000000000004,0.0,-262.31208083262027,-262.312080832633,0.0,262.3120808326603,1.021405182655144e-14,0.0
13,53127.5,53696.306777777805,568.8067777777776,0.0,0.0,0.0,34839.12577320877,3.000000000000001,0.0,53127.5,55665.88763234844,2538.387632348355,0.0,0.0,0.0,32869.54491863812,2.999999999999998,0.0,1969.5808545706313,1969.5808545705775,0.0,-1969.580854570646,-3.1086244689504383e-15,0.0
14,51858.75,54472.93593354087,2614.185933540869,0.0,0.0,0.0,35706.952707412005,3.0,0.0,51858.75,53483.80824284687,1625.0582428468872,0.0,0.0,0.0,36696.08039810603,3.0000000000000084,0.0,-989.1276906940038,-989.1276906939818,0.0,989.1276906940257,8.43769498715119e-15,0.0
15,50763.0,52216.23078070023,1453.2307807002155,0.0,0.0,0.0,38008.61342933764,2.9999999999999964,0.0,50763.0,52642.80160750188,1879.8016075018504,0.0,0.0,0.0,37582.042602536,3.0,0.0,426.5708268016533,426.5708268016349,0.0,-426.57082680163876,3.552713678800501e-15,0.0
16,51838.25,53036.349666666654,1198.0996666666667,0.0,0.0,0.0,40726.505502380685,3.0,0.0,51838.25,54182.50172939381,2344.251729393828,0.0,0.0,0.0,39580.353439653496,2.9999999999999964,0.0,1146.152062727153,1146.1520627271614,0.0,-1146.1520627271893,-3.552713678800501e-15,0.0
17,53930.25,56007.49577914335,2077.2457791432894,0.0,0.0,0.0,36790.3924246832,2.9999999999999982,0.0,53930.25,54453.66018924756,523.4101892475447,0.0,0.0,0.0,38344.22801457893,3.0,0.0,-1553.8355898957889,-1553.8355898957448,0.0,1553.8355898957234,1.7763568394002505e-15,0.0
18,55772.75,56902.79559481422,1130.0455948142408,0.0,0.0,0.0,39606.38087289604,2.999999999999993,0.0,55772.75,56040.28635869697,267.5363586969916,0.0,0.0,0.0,40468.89010901333,3.000000000000003,0.0,-862.5092361172501,-862.5092361172492,0.0,862.5092361172865,1.021405182655144e-14,0.0
19,55924.25,56413.02633587296,488.776335873016,0.0,0.0,0.0,38962.27816712348,3.0000000000000018,0.0,55924.25,56316.99910301207,392.74910301211423,0.0,0.0,0.0,39058.30539998441,2.9999999999999964,0.0,-96.0272328608844,-96.02723286090179,0.0,96.02723286093533,-5.329070518200751e-15,0.0
20,54756.75,55439.08692938059,682.3369293805858,0.0,0.0,0.0,37614.2611946921,2.999999999999995,0.0,54756.75,55968.35307212621,1211.603072126191,0.0,0.0,0.0,37084.99505194652,3.0,0.0,529.2661427456187,529.2661427456051,0.0,-529.2661427455823,4.884981308350689e-15,0.0
21,52526.75,53685.0515706162,1158.3015706162512,0.0,0.0,0.0,39007.97026826204,3.0000000000000018,0.0,52526.75,53138.74827603289,611.9982760329627,0.0,0.0,0.0,39554.27356284535,3.000000000000001,0.0,-546.3032945833038,-546.3032945832884,0.0,546.3032945833111,-8.881784197001252e-16,0.0
22,50686.25,51774.68448479802,1088.4344847980062,0.0,0.0,0.0,38427.973703166,2.9999999999999765,0.0,50686.25,51717.444126383394,1031.1941263834028,0.0,0.0,0.0,38485.21406158064,3.0000000000000004,0.0,-57.24035841462319,-57.240358414603406,0.0,57.240358414645016,2.398081733190338e-14,0.0
23,48596.25,49432.40760971372,836.1576097135875,0.0,0.0,0.0,37026.35816384858,3.000000000000002,0.0,48596.25,51704.891664581184,3108.641664581065,0.0,0.0,0.0,34753.8741089811,2.9999999999999933,0.0,2272.484054867462,2272.4840548674774,0.0,-2272.4840548674765,-8.881784197001252e-15,0.0
24,46002.0,46825.52202158733,823.5220215873017,0.0,0.0,0.0,40051.18070934229,3.000000000000004,0.0,46002.0,47701.81728977407,1699.81728977406,0.0,0.0,0.0,39174.88544115554,3.000000000000003,0.0,876.2952681867464,876.2952681867584,0.0,-876.2952681867537,-8.881784197001252e-16,0.0
25,44101.75,45827.7317504216,1725.9817504215905,0.0,0.0,0.0,37160.555241948015,3.0000000000000044,0.0,44101.75,46257.49960732163,2155.749607321646,0.0,0.0,0.0,36730.78738504787,2.9999999999999862,0.0,429.76785690003453,429.7678569000557,0.0,-429.76785690014367,-1.8207657603852567e-14,0.0
26,42051.75,43946.61222589813,1894.8622258981372,0.0,0.0,0.0,37478.33041619542,3.000000000000004,0.0,42051.75,44282.56534589032,2230.8153458903407,0.0,0.0,0.0,37142.37729620327,3.0000000000000018,0.0,335.9531199921912,335.9531199922035,0.0,-335.9531199921548,-2.220446049250313e-15,0.0
27,41235.5,45027.48868689465,3791.988686894662,0.0,0.0,0.0,33151.41308898857,3.0000000000000075,0.0,41235.5,43047.98043039819,1812.480430398189,0.0,0.0,0.0,35130.92134548505,2.999999999999997,0.0,-1979.5082564964614,-1979.508256496473,0.0,1979.508256496476,-1.0658141036401503e-14,0.0
28,41547.75,43703.56881708608,2155.81881708607,0.0,0.0,0.0,32065.595077544007,3.0,0.0,41547.75,44822.75667047728,3275.0066704772967,0.0,0.0,0.0,30946.4072241528,3.0000000000000004,0.0,1119.1878533912022,1119.1878533912268,0.0,-1119.1878533912059,4.440892098500626e-16,0.0
29,42063.25,44341.35715654909,2278.1071565491384,0.0,0.0,0.0,26958.072082275117,3.000000000000016,0.0,42063.25,43297.89819190353,1234.64819190357,0.0,0.0,0.0,27866.90424692065,2.999999999999998,0.0,-1043.4589646455643,-1043.4589646455684,0.0,908.8321646455333,-1.8207657603852567e-14,0.0
30,44062.0,46915.2978051578,2853.297805157854,0.0,0.0,0.0,21745.89089781567,2.999999999999996,0.0,44062.0,46872.809251023325,2810.809251023416,0.0,0.0,0.0,21446.224639946464,3.0000000000000497,0.0,-42.488554134477454,-42.48855413443789,0.0,-299.66625786920486,5.3734794391857577e-14,0.0
31,49523.25,50909.959703174674,1386.709703174603,0.0,0.0,0.0,17447.53326949657,3.0,0.0,49523.25,49553.51088888892,30.260888888888893,0.0,0.0,0.0,17668.67407177868,2.999999999999997,0.0,-1356.4488142857517,-1356.448814285714,0.0,221.14080228211242,-3.1086244689504383e-15,0.0
32,53621.5,54011.0393754936,389.53937549358375,0.0,0.0,0.0,10983.889666460467,2.999999999999999,0.0,53621.5,53621.50000000001,0.0,0.0,0.0,0.0,8864.267481500123,4.303829282814953,0.0,-389.539375493594,-389.53937549358375,0.0,-2119.6221849603444,1.303829282814954,0.0
33,57052.25,56709.26018356414,56.60333333333334,399.5931497692378,0.0,0.0,7737.974806943699,9.822606454631764,0.0,57052.25,56278.53260147646,27.645,801.3623985235273,0.0,0.0,5370.583454970678,11.115342705097632,0.0,-430.7275820876821,-28.95833333333334,401.7692487542895,-2367.3913519730213,1.2927362504658682,0.0
34,59258.75,56216.41410381316,0.011111111111111,3042.3470072979376,0.0,0.0,6097.755111798917,17.85784264552926,0.18124,59258.75,55870.22864034521,0.0,3388.5213596547696,0.0,0.0,3563.84315000618,12.57372806223485,0.0,-346.18546346794756,-0.011111111111111,346.17435235683206,-2533.9119617927367,-5.284114583294411,-0.18124
35,59895.5,54475.28277988031,3.2830000000000004,5423.500220119715,0.0,0.0,5031.956676498073,18.07460653495491,0.3624800000000001,59895.5,54332.81735741442,0.0,5562.68264258561,0.0,0.0,2292.721313703318,13.582069407179308,0.0,-142.46542246589524,-3.2830000000000004,139.1824224658949,-2739.2353627947546,-4.492537127775602,-0.3624800000000001
