Line,From_bus,To_bus,From_zone,To_zone,PreStructuralHoursBinding,StructuralHoursBinding,DeltaHoursBinding,PreStructuralCongestionRent,StructuralCongestionRent,DeltaCongestionRent
690,B368,B483,TenneT,TenneT,0.0,0.0,0.0,16868.236472507288,15027.323701724703,-1840.9127707825846
691,B786,B41,TenneT,TenneT,0.0,0.0,0.0,1621.1850911730828,2665.8299167889513,1044.6448256158685
692,B41,B42,TenneT,TenneT,0.0,0.0,0.0,41.47691059944637,69.32254715330599,27.84563655385962
693,B42,B476,TenneT,TenneT,0.0,0.0,0.0,1481.5438881285002,2499.8601672382497,1018.3162791097495
694,B786,B41,TenneT,TenneT,0.0,0.0,0.0,1621.1850911730908,2665.82991678895,1044.6448256158592
695,B41,B42,TenneT,TenneT,0.0,0.0,0.0,41.476910599446235,69.32254715330595,27.845636553859713
696,B42,B476,TenneT,TenneT,0.0,0.0,0.0,1481.5438881285006,2499.8601672382497,1018.3162791097491
697,B770,B654,50Hertz,50Hertz,0.0,0.0,0.0,1802.9547280001489,1679.9994309556048,-122.95529704454407
698,B755,B56,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
699,B755,B56,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
700,B755,B56,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
701,B755,B56,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
702,B755,B56,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
703,B755,B56,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
704,B734,B736,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
705,B734,B43,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
706,B43,B736,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
707,B484,B483,TenneT,TenneT,0.0,0.0,0.0,4311.8641043427115,3820.7460977230903,-491.11800661962116
708,B545,B286,TenneT,TenneT,0.0,0.0,0.0,-133.39492218121433,85.18799891779982,218.58292109901413
709,B539,B448,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
710,B540,B465,TenneT,TenneT,0.0,0.0,0.0,13170.90209672787,11209.439585721917,-1961.4625110059533
711,B545,B286,TenneT,TenneT,0.0,0.0,0.0,-133.3949221846005,85.18799891779842,218.58292110239893
712,B315,B675,TenneT,TenneT,0.0,0.0,0.0,-153.48863181026627,-150.27294793711337,3.215683873152898
713,B315,B675,TenneT,TenneT,0.0,0.0,0.0,-153.48863181026678,-150.27294793711343,3.2156838731533526
714,B409,B455,TransnetBW,TenneT,0.0,0.0,0.0,1120.198934206866,1016.4727532084514,-103.72618099841452
715,B481,B489,TenneT,TenneT,0.0,0.0,0.0,-401.02209147829734,-293.48905424963505,107.5330372286623
716,B766,B458,TenneT,TenneT,0.0,0.0,0.0,-10014.351986985845,-8088.7038947198935,1925.6480922659512
717,B368,B770,TenneT,50Hertz,0.0,0.0,0.0,12879.006617470812,11485.093657927158,-1393.9129595436534
718,B760,B757,50Hertz,50Hertz,0.0,0.0,0.0,1416.4233133863477,1314.1349721554184,-102.28834123092929
719,B547,B438,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
720,B671,B658,50Hertz,50Hertz,0.0,0.0,0.0,4469.501081854199,3457.071311453536,-1012.4297704006626
721,B314,B732,TenneT,TenneT,0.0,0.0,0.0,-7.353955714583025,-3.9693385050450845,3.3846172095379403
722,B566,B763,50Hertz,50Hertz,0.0,0.0,0.0,1376.3529055936042,1237.6254246305584,-138.72748096304576
723,B550,B754,50Hertz,50Hertz,0.0,0.0,0.0,235.81134882595322,174.8749653231622,-60.93638350279102
724,B597,B522,50Hertz,TenneT,0.0,0.0,0.0,18406.7910373903,17451.223377471186,-955.5676599191138
725,B597,B566,50Hertz,50Hertz,0.0,0.0,0.0,8903.58984052466,8123.644890775117,-779.9449497495434
726,B597,B566,50Hertz,50Hertz,0.0,0.0,0.0,8903.589840524659,8123.644890775118,-779.9449497495407
727,B566,B629,50Hertz,50Hertz,0.0,0.0,0.0,4182.866402063849,4065.5579225436354,-117.3084795202135
728,B756,B658,50Hertz,50Hertz,0.0,0.0,0.0,662.4516814653191,550.2386579369778,-112.2130235283413
729,B573,B399,50Hertz,50Hertz,0.0,0.0,0.0,1325.5441335558476,1275.533251963597,-50.0108815922506
730,B573,B399,50Hertz,50Hertz,0.0,0.0,0.0,1325.544133555851,1275.5332519635972,-50.01088159225378
731,B755,B573,50Hertz,50Hertz,0.0,0.0,0.0,3495.2441244623947,3416.6153275633874,-78.62879689900728
732,B755,B573,50Hertz,50Hertz,0.0,0.0,0.0,3495.244124462394,3416.6153275633874,-78.62879689900683
733,B449,B397,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
734,B529,B45,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
735,B610,B529,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
736,B692,B609,TenneT,TenneT,0.0,0.0,0.0,-57330.42376919014,-56889.731328082446,440.69244110769796
737,B692,B782,TenneT,Amprion,0.0,0.0,0.0,-23857.838355072254,-23082.4670769051,775.3712781671529
738,B772,B773,TenneT,TenneT,0.0,0.0,0.0,-432.80988826378587,-2478.2963467917457,-2045.4864585279597
739,B449,B696,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
740,B735,B414,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
741,B736,B162,TransnetBW,TransnetBW,0.0,0.0,0.0,-1.1142722804372717e-13,-3.956329284534603e-14,7.186393519838114e-14
742,B50,B52,Amprion,Amprion,0.0,0.0,0.0,-87.36791556170574,-71.29629047825917,16.071625083446577
743,B51,B53,Amprion,Amprion,0.0,0.0,0.0,-812.3103697342381,-680.3314328463316,131.97893688790646
744,B138,B50,Amprion,Amprion,0.0,0.0,0.0,-75.57823413063576,-62.28031540288527,13.297918727750492
745,B139,B51,Amprion,Amprion,0.0,0.0,0.0,-779.4355279482136,-649.0822282990712,130.3532996491424
746,B52,B474,Amprion,Amprion,0.0,0.0,0.0,-94.9085556147106,-75.95072074298274,18.957834871727854
747,B53,B262,Amprion,Amprion,0.0,0.0,0.0,-1056.9576041878947,-890.610785385534,166.34681880236076
748,B472,B48,Amprion,Amprion,0.0,0.0,0.0,23.840233879949853,16.120517217335763,-7.71971666261409
749,B473,B49,Amprion,Amprion,0.0,0.0,0.0,-3055.772994499683,-2627.587805405729,428.18518909395425
750,B520,B635,TransnetBW,TransnetBW,0.0,0.0,0.0,-5857.489380376673,-5463.073462114195,394.41591826247804
751,B635,B54,TransnetBW,TransnetBW,0.0,0.0,0.0,-7386.496345986189,-7094.709746242768,291.786599743421
752,B723,B54,TransnetBW,TransnetBW,0.0,0.0,0.0,1.2220611163991355,1.3757868283571788,0.1537257119580433
753,B54,B270,TransnetBW,TransnetBW,0.0,0.0,0.0,-3972.2582896325143,-3832.2068417682494,140.0514478642649
754,B54,B723,TransnetBW,TransnetBW,0.0,0.0,0.0,0.5938623195908267,0.6685655456889524,0.07470322609812574
755,B2,B304,Amprion,Amprion,0.0,0.0,0.0,-83542.42794312646,-72178.9411765143,11363.486766612157
