Hour,Load_MW_prestructural,Generation_MW_prestructural,StorageCharge_MW_prestructural,StorageDischarge_MW_prestructural,TransmissionLoss_MW_prestructural,LoadShedding_MW_prestructural,Curtailment_MW_prestructural,AvgLMP_LoadWeighted_prestructural,TotalEmissions_ton_prestructural,Load_MW_structural,Generation_MW_structural,StorageCharge_MW_structural,StorageDischarge_MW_structural,TransmissionLoss_MW_structural,LoadShedding_MW_structural,Curtailment_MW_structural,AvgLMP_LoadWeighted_structural,TotalEmissions_ton_structural,Delta_Curtailment_MW,Delta_AvgLMP_LoadWeighted,Delta_Generation_MW,Delta_StorageCharge_MW,Delta_StorageDischarge_MW
11,50088.5,51627.684067221744,1539.1840672216997,0.0,0.0,0.0,31888.5389194981,2.9999999999999987,0.0,50088.5,50474.007777777806,385.5077777777777,0.0,0.0,0.0,33042.215208942005,3.0000000000000004,0.0,1153.6762894439053,1.7763568394002505e-15,-1153.676289443938,-1153.676289443922,0.0
12,52089.5,53758.47236723927,1668.972367239344,0.0,0.0,0.0,31842.748702532903,3.000000000000004,0.0,52089.5,53353.83999999995,1264.34,0.0,0.0,0.0,32247.38106977224,3.0000000000000018,0.0,404.6323672393373,-2.220446049250313e-15,-404.63236723931914,-404.63236723934415,0.0
13,53127.5,55665.88763234844,2538.387632348355,0.0,0.0,0.0,32869.54491863812,2.999999999999998,0.0,53127.5,55023.424292156655,1895.9242921565688,0.0,0.0,0.0,33512.00825882995,2.9999999999999982,0.0,642.4633401918254,4.440892098500626e-16,-642.4633401917818,-642.4633401917863,0.0
14,51858.75,53483.80824284687,1625.0582428468872,0.0,0.0,0.0,36696.08039810603,3.0000000000000084,0.0,51858.75,53100.20486722223,1241.454867222222,0.0,0.0,0.0,37079.683773730656,3.0000000000000027,0.0,383.6033756246252,-5.773159728050814e-15,-383.60337562463974,-383.6033756246652,0.0
15,50763.0,52642.80160750188,1879.8016075018504,0.0,0.0,0.0,37582.042602536,3.0,0.0,50763.0,53232.96033333335,2469.960333333333,0.0,0.0,0.0,36991.883876704494,3.0000000000000013,0.0,-590.1587258315049,1.3322676295501878e-15,590.1587258314685,590.1587258314826,0.0
16,51838.25,54182.50172939381,2344.251729393828,0.0,0.0,0.0,39580.353439653496,2.9999999999999964,0.0,51838.25,52635.317636666674,797.0676366666669,0.0,0.0,0.0,41127.53753238071,2.9999999999999942,0.0,1547.1840927272133,-2.220446049250313e-15,-1547.1840927271332,-1547.1840927271612,0.0
17,53930.25,54453.66018924756,523.4101892475447,0.0,0.0,0.0,38344.22801457893,3.0,0.0,53930.25,54357.64757777783,427.3975777777778,0.0,0.0,0.0,38440.24062604874,3.0,0.0,96.01261146981415,0.0,-96.01261146972683,-96.01261146976691,0.0
18,55772.75,56040.28635869697,267.5363586969916,0.0,0.0,0.0,40468.89010901333,3.000000000000003,0.0,55772.75,55962.10166666675,189.3516666666667,0.0,0.0,0.0,40547.07480104366,3.0000000000000027,0.0,78.18469203032873,-4.440892098500626e-16,-78.1846920302196,-78.18469203032492,0.0
19,55924.25,56316.99910301207,392.74910301211423,0.0,0.0,0.0,39058.30539998441,2.9999999999999964,0.0,55924.25,56576.73961111108,652.4896111111108,0.0,0.0,0.0,38798.56489188542,2.999999999999998,0.0,-259.740508098992,1.3322676295501878e-15,259.74050809900655,259.74050809899654,0.0
20,54756.75,55968.35307212621,1211.603072126191,0.0,0.0,0.0,37084.99505194652,3.0,0.0,54756.75,55083.351227619074,326.6012276190476,0.0,0.0,0.0,37969.99689645366,2.999999999999994,0.0,885.00184450714,-6.217248937900877e-15,-885.0018445071328,-885.0018445071432,0.0
