Bus_id,Zone_id,Load_share_old,Demand (MW)_old,Load_share_new,Demand (MW)_new,delta_share,abs_delta_share,delta_demand_mw
B664,Amprion,0.0026550273163796,72.26917979502537,0.0262811735694221,715.3669742662793,0.0236261462530425,0.0236261462530425,643.0977944712539
B430,TenneT,0.0041718752490631,95.57265570573702,0.0244376749190842,559.8378071863181,0.020265799670021102,0.020265799670021102,464.26515148058104
B705,TenneT,0.0042778140145601,97.99958569675454,0.0232636694680893,532.9427511105648,0.0189858554535292,0.0189858554535292,434.9431654138103
B677,TransnetBW,0.0061405507956958,59.61707253771188,0.0248160516727993,240.9328416782905,0.018675500877103502,0.018675500877103502,181.3157691405786
B359,Amprion,0.0038351201270416,104.39101107804284,0.0219685944884645,597.9796498273836,0.0181334743614229,0.0181334743614229,493.58863874934076
B326,TenneT,0.0051352872469743,117.643268483486,0.0219977822516178,503.9427940458632,0.0168624950046435,0.0168624950046435,386.2995255623772
B195,Amprion,0.0034819482764281,94.77776159730615,0.0201001959993942,547.1223100545121,0.0166182477229661,0.0166182477229661,452.344548457206
B353,Amprion,0.0032219645003525,87.70106820847188,0.0198274301526125,539.6976918965745,0.01660546565226,0.01660546565226,451.9966236881026
B489,TenneT,0.0052105149461881,119.36664479923604,0.0213611014035011,489.3571998325272,0.016150586457313,0.016150586457313,369.9905550332912
B651,50Hertz,0.0075367506277598,126.69903355566429,0.0235627641020412,396.1096216495183,0.016026013474281398,0.016026013474281398,269.410588093854
B299,TenneT,0.0057649681573006,132.06850252196966,0.0216308547580671,495.5369254816096,0.0158658866007665,0.0158658866007665,363.46842295963995
B742,TenneT,0.0044805145892744,102.64321262276935,0.0201405895898763,461.3967387965595,0.015660075000601903,0.015660075000601903,358.75352617379014
B693,Amprion,0.0030944396621156,84.22987399287308,0.0187316196643962,509.8700043599493,0.0156371800022806,0.0156371800022806,425.6401303670762
B393,Amprion,0.0032615217658937,88.77780708718562,0.0185180898418746,504.0577759733672,0.0152565680759809,0.0152565680759809,415.27996888618156
B346,Amprion,0.0025867641702753,70.41107402385161,0.0173783090281953,473.0332271702193,0.01479154485792,0.01479154485792,402.6221531463677
B492,Amprion,0.0026063717173006,70.94478655199467,0.0170896425752373,465.17579848731685,0.0144832708579367,0.0144832708579367,394.23101193532216
B367,Amprion,0.0039841545112964,108.44768975886154,0.0180393594778617,491.02685514752767,0.014055204966565298,0.014055204966565298,382.5791653886661
B459,Amprion,0.0029636911447648,80.67093203771232,0.0162547293646929,442.44966962460126,0.0132910382199281,0.0132910382199281,361.77873758688895
B561,TenneT,0.0040991663688864,93.90698251154662,0.0171155004374219,392.09557642081273,0.0130163340685355,0.0130163340685355,298.1885939092661
B87,TransnetBW,0.0059593215373646,57.85756297588862,0.0188780016375724,183.2817983987814,0.012918680100207799,0.012918680100207799,125.42423542289279
B12,50Hertz,0.0060018283679395,100.89571638260912,0.0187476792705245,315.1640491113114,0.012745850902585,0.012745850902585,214.26833272870226
B321,50Hertz,0.0072961628056851,122.65455257869542,0.0199872580597884,336.00239740923286,0.0126910952541033,0.0126910952541033,213.34784483053744
B347,Amprion,0.002786420670929,75.84567405752126,0.0153344154787485,417.398955727666,0.0125479948078195,0.0125479948078195,341.55328167014477
B710,TenneT,0.0054132927818948,124.01204168187348,0.0173086872339792,396.52125410578367,0.011895394452084401,0.011895394452084401,272.5092124239102
B45,50Hertz,0.0062710431288939,105.42143996250364,0.0181200479877311,304.6130463135904,0.011849004858837199,0.011849004858837199,199.19160635108676
B235,Amprion,0.0030288191757127,82.44370075810698,0.0148468564233259,404.12772012882783,0.0118180372476132,0.0118180372476132,321.6840193707209
B769,50Hertz,0.0070699458593968,118.85165795152382,0.0187736409359993,315.6004862561253,0.0117036950766025,0.0117036950766025,196.7488283046015
B771,50Hertz,0.007933407229286,133.36716025229876,0.0195289997084986,328.29869416962094,0.011595592479212598,0.011595592479212598,194.93153391732218
B560,Amprion,0.0028039331603711,76.32235964201352,0.0143266498230839,389.9678265218891,0.0115227166627128,0.0115227166627128,313.6454668798756
B755,50Hertz,0.0135138871641337,227.1796597554344,0.0020761629440459,34.902022304655254,-0.0114377242200878,0.0114377242200878,-192.27763745077914
B339,Amprion,0.0034550569656093,94.04578683964417,0.0146732746184138,399.4028667945692,0.011218217652804499,0.011218217652804499,305.35707995492504
B399,50Hertz,0.0115872879803499,194.791928398707,0.0004110858628132,6.910694555156718,-0.0111762021175367,0.0111762021175367,-187.8812338435503
B108,TransnetBW,0.0054080265021477,52.505177302726864,0.0165773008731459,160.9448698521557,0.011169274370998199,0.011169274370998199,108.43969254942884
B451,Amprion,0.0027737021735022,75.49947973718712,0.0138831733917198,377.8965089292663,0.0111094712182176,0.0111094712182176,302.3970291920792
B583,TransnetBW,0.006008097266832,58.33111433935535,0.0169320951023282,164.38947832472897,0.0109239978354962,0.0109239978354962,106.05836398537362
B770,50Hertz,0.0123772977867238,208.07264895199052,0.0014662026050203,24.64808273855424,-0.0109110951817035,0.0109110951817035,-183.42456621343626
B519,TransnetBW,0.0054266831121531,52.68630966511655,0.01596764511171,155.0258744783148,0.0105409619995569,0.0105409619995569,102.33956481319824
B133,TransnetBW,0.0064435695723304,62.55900608536368,0.0168651356941188,163.73938617027667,0.0104215661217884,0.0104215661217884,101.180380084913
B774,TenneT,0.0050198053831183,114.99771756078252,0.0154307003397629,353.4988279435606,0.0104108949566446,0.0104108949566446,238.5011103827781
B463,TransnetBW,0.0075469933330862,73.27187152260116,0.0175715306170624,170.59759787840457,0.0100245372839762,0.0100245372839762,97.32572635580341
B7,50Hertz,0.0088933179703349,149.50405653524635,0.0188988009833978,317.7045305357344,0.0100054830130629,0.0100054830130629,168.20047400048807
B457,TransnetBW,0.0057929269886518,56.24207990107332,0.0156855956042992,152.28752632323986,0.009892668615647401,0.009892668615647401,96.04544642216655
B454,Amprion,0.0039647832823437,107.92040974957536,0.0135378648864682,368.4972977434432,0.0095730816041245,0.0095730816041245,260.57688799386784
B681,TransnetBW,0.0064081230222111,62.21486439189245,0.0159633417744073,154.98409445227716,0.009555218752196202,0.009555218752196202,92.76923006038471
B412,Amprion,0.0033340974562175,90.75329923387758,0.012578427744682,342.3816586033088,0.0092443302884645,0.0092443302884645,251.6283593694312
B5,50Hertz,0.0092471025862423,155.45146956988086,1.0928305569576193e-05,0.1837138871181985,-0.009236174280672723,0.009236174280672723,-155.26775568276267
B736,TransnetBW,0.0092689730528883,89.99014212722938,0.0001488247317768,1.4449021146387515,-0.0091201483211115,0.0091201483211115,-88.54524001259063
B419,TransnetBW,0.0053316872777842,51.76401885818774,0.0144496042802549,140.2875955559252,0.0091179170024707,0.0091179170024707,88.52357669773747
B461,TenneT,0.0044842136758373,102.72795425702172,0.0135049119347705,309.38132653127053,0.0090206982589332,0.0090206982589332,206.6533722742488
B456,TenneT,0.0057385192632127,131.4625900970873,0.0145858454407886,334.1442160339393,0.008847326177575901,0.008847326177575901,202.68162593685202
B364,TransnetBW,0.0058688616349829,56.979310398640536,0.0146227100798507,141.96823648775106,0.0087538484448678,0.0087538484448678,84.98892608911052
B481,TenneT,0.0060092734054961,137.66524259182958,0.0145381635135747,333.05188029978115,0.008528890108078599,0.008528890108078599,195.38663770795156
B458,TenneT,0.006567107853923,150.44456040395258,0.015053490426075,344.857401472867,0.008486382572152,0.008486382572152,194.41284106891445
B573,50Hertz,0.0095456540962655,160.4703682511232,0.001451732345712,24.40482566926581,-0.0080939217505535,0.0080939217505535,-136.0655425818574
B488,TransnetBW,0.0050483283961953,49.01295831656167,0.0131273153305098,127.44982271508708,0.0080789869343145,0.0080789869343145,78.43686439852542
B130,50Hertz,0.0080857143689265,135.9275696845814,2.1856611139152385e-05,0.367427774236397,-0.008063857757787347,0.008063857757787347,-135.560141910345
B448,TenneT,0.0045497646955081,104.22964945645737,0.0125174839995202,286.7605374482102,0.0079677193040121,0.0079677193040121,182.53088799175282
B753,50Hertz,0.008115786070184,136.4330999422319,0.0002814954796826,4.7321726547128105,-0.0078342905905014,0.0078342905905014,-131.7009272875191
B289,50Hertz,0.0096344469815804,161.96305035136197,0.0019623899651289,32.98940409748898,-0.007672057016451499,0.007672057016451499,-128.973646253873
B526,Amprion,0.0029019528167049,78.99043018250465,0.0104237894328893,283.73294241589,0.0075218366161844,0.0075218366161844,204.74251223338536
B401,Amprion,0.0034097513273255,92.81257869197076,0.0109300144489905,297.51226079791167,0.007520263121664999,0.007520263121664999,204.6996821059409
B179,50Hertz,0.0074915646919239,125.9394204699361,1.0928305569576193e-05,0.1837138871181985,-0.007480636386354324,0.007480636386354324,-125.7557065828179
B601,50Hertz,0.008483099471406,142.6079430868969,0.0010385224371379,17.458424141911138,-0.0074445770342681005,0.0074445770342681005,-125.14951894498577
B568,50Hertz,0.0093440811462276,157.08175965543748,0.0019255666829076,32.37037416002379,-0.00741851446332,0.00741851446332,-124.71138549541368
B707,TransnetBW,0.0063656787729018,61.80278378641084,0.0137686076201724,133.67596923234956,0.0074029288472706,0.0074029288472706,71.87318544593872
B282,50Hertz,0.0065299215175539,109.77340054494115,0.013897196097652,233.6234010742923,0.0073672745800981,0.0073672745800981,123.85000052935115
B408,50Hertz,0.006513572653776,109.49856257527826,0.0138247774640981,232.40598373678472,0.0073112048103221,0.0073112048103221,122.90742116150646
B233,50Hertz,0.0072955170090872,122.6436962018744,0.0,0.0,-0.0072955170090872,0.0072955170090872,-122.6436962018744
B382,TransnetBW,0.0073284565957434,71.1501529739239,4.579222516214589e-05,0.4445852660429839,-0.0072826643705812535,0.0072826643705812535,-70.70556770788092
B704,50Hertz,0.0089882825816129,151.10049047145583,0.001820252521218,30.599955691268324,-0.007168030060394901,0.007168030060394901,-120.50053478018751
B297,Amprion,0.0025871000036836,70.4202153252675,0.0097480153889342,265.33854188294373,0.007160915385250599,0.007160915385250599,194.9183265576762
B618,TransnetBW,0.0070450641159561,68.39876623578905,0.0141687734552227,137.56107928339384,0.007123709339266601,0.007123709339266601,69.16231304760478
B671,50Hertz,0.007323593263323,123.11568133886936,0.0002076378058219,3.4905638552452163,-0.007115955457501101,0.007115955457501101,-119.62511748362415
B391,50Hertz,0.0074962532173196,126.018238473313,0.0003838923777352,6.453549500402711,-0.0071123608395844,0.0071123608395844,-119.56468897291029
B34,Amprion,0.0028591499413277,77.82534661545655,0.0099299957829135,270.2920027119597,0.0070708458415858,0.0070708458415858,192.46665609650313
B763,50Hertz,0.00829443714512,139.43637279229904,0.0153582512995427,258.1849516938921,0.0070638141544227,0.0070638141544227,118.74857890159308
B532,50Hertz,0.0070664233767097,118.79244209389348,5.464152784788095e-05,0.9185694355909928,-0.007011781848861819,0.007011781848861819,-117.87387265830249
B308,TransnetBW,0.0080125842744353,77.79217757442412,0.0010150028712189,9.854409125946953,-0.0069975814032164005,0.0069975814032164005,-67.93776844847716
B529,50Hertz,0.0071386694602453,120.00695872237708,0.0140906817818851,236.8760560193689,0.006952012321639801,0.006952012321639801,116.86909729699181
B750,50Hertz,0.0069121700352818,116.19931539421738,2.1856611139152385e-05,0.367427774236397,-0.0068903134241426476,0.0068903134241426476,-115.83188761998098
B290,50Hertz,0.0074222365890757,124.77395751873308,0.014307419247258,240.5195927043828,0.0068851826581823004,0.0068851826581823004,115.74563518564972
B260,50Hertz,0.0069276051859468,116.4587930880715,4.371322227830477e-05,0.7348555484727941,-0.006883891963668495,0.006883891963668495,-115.72393753959871
B193,50Hertz,0.0068563887058872,115.26158494859092,2.1856611139152385e-05,0.367427774236397,-0.006834532094748048,0.006834532094748048,-114.89415717435452
